Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12
MHC class I protein complex,NA,NA,NA,NA,NA,NA,NA,Lsm1-7-Pat1 complex,oxidative phosphorylation,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,poly(A) binding
antigen processing and presentation of endogenous peptide antigen,NA,NA,NA,NA,NA,NA,NA,NADH:ubiquinone oxidoreductase supernumerary subunits,ATP synthesis coupled proton transport,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,poly-purine tract binding
antigen processing and presentation of endogenous antigen,NA,NA,NA,NA,NA,NA,NA,Peroxiredoxins,"energy coupled proton transport, down electrochemical gradient",APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,mRNA 3'-end processing
interferon-gamma-mediated signaling pathway,NA,NA,NA,NA,NA,NA,NA,peroxiredoxin activity,ATP biosynthetic process,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,negative regulation of mRNA metabolic process
Interferon gamma signaling,NA,NA,NA,NA,NA,NA,NA,thioredoxin peroxidase activity,purine nucleoside triphosphate biosynthetic process,Regulation of APC/C activators between G1/S and early anaphase,mRNA transport
mononuclear cell differentiation,NA,NA,NA,NA,NA,NA,NA,double-stranded telomeric DNA binding,purine nucleoside triphosphate metabolic process,APC/C:Cdc20 mediated degradation of mitotic proteins,fibrillar center
lymphocyte differentiation,NA,NA,NA,NA,NA,NA,NA,mitochondrial matrix,purine ribonucleoside triphosphate biosynthetic process,proteasome-mediated ubiquitin-dependent protein catabolic process,exon-exon junction complex
regulation of lymphocyte differentiation,NA,NA,NA,NA,NA,NA,NA,ribonucleoprotein complex biogenesis,ribonucleoside triphosphate biosynthetic process,negative regulation of cell cycle G2/M phase transition,transcription coactivator activity
regulation of T cell differentiation,NA,NA,NA,NA,NA,NA,NA,ribonucleoprotein complex assembly,purine ribonucleoside triphosphate metabolic process,negative regulation of G2/M transition of mitotic cell cycle,regulation of mRNA metabolic process
early endosome,NA,NA,NA,NA,NA,NA,NA,ribonucleoprotein complex subunit organization,ribonucleoside triphosphate metabolic process,Rho GDP-dissociation inhibitor binding,"regulation of mRNA splicing, via spliceosome"
regulation of hemopoiesis,NA,NA,NA,NA,NA,NA,NA,mitochondrial transmembrane transport,NA,GDP-dissociation inhibitor binding,regulation of RNA splicing
regulation of leukocyte differentiation,NA,NA,NA,NA,NA,NA,NA,mitochondrial transport,NA,substantia nigra development,regulation of mRNA processing
S100 protein binding,NA,NA,NA,NA,NA,NA,NA,mitochondrial membrane organization,NA,establishment of protein localization to mitochondrion,pre-mRNA binding
cortical actin cytoskeleton,NA,NA,NA,NA,NA,NA,NA,VDAC1 interactions,NA,protein localization to mitochondrion,RNA binding motif containing
B cell differentiation,NA,NA,NA,NA,NA,NA,NA,DNM1L interactions,NA,Separation of Sister Chromatids,histone deacetylase binding
B cell activation,NA,NA,NA,NA,NA,NA,NA,HSD17B10 interactions,NA,Mitotic Anaphase,RNA binding motif containing|Serine and arginine rich splicing factors
B cell proliferation,NA,NA,NA,NA,NA,NA,NA,TP53 Regulates Metabolic Genes,NA,Mitotic Metaphase and Anaphase,chromatin remodeling
antigen receptor-mediated signaling pathway,NA,NA,NA,NA,NA,NA,NA,COX4I1 interactions,NA,Cell Cycle Checkpoints,histone binding
immune response-activating cell surface receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,ribosome binding,NA,cell cycle G2/M phase transition,SWI/SNF superfamily-type complex
immune response-activating signal transduction,NA,NA,NA,NA,NA,NA,NA,pICln-Sm protein complex,NA,G2/M transition of mitotic cell cycle,mRNA 3'-UTR binding
CD molecules|Tumor necrosis factor superfamily,NA,NA,NA,NA,NA,NA,NA,UQCRC2 interactions,NA,regulation of G2/M transition of mitotic cell cycle,positive regulation of mRNA metabolic process
leukocyte proliferation,NA,NA,NA,NA,NA,NA,NA,SOD1 interactions,NA,Mitotic G1-G1/S phases,lamin binding
lymphocyte proliferation,NA,NA,NA,NA,NA,NA,NA,PARK7 interactions,NA,regulation of cell cycle G2/M phase transition,protein C-terminus binding
mononuclear cell proliferation,NA,NA,NA,NA,NA,NA,NA,Non-alcoholic fatty liver disease (NAFLD),NA,G2/M Transition,mRNA CDS binding
U2 snRNA binding,NA,NA,NA,NA,NA,NA,NA,Huntington's disease,NA,Mitotic G2-G2/M phases,minor groove of adenine-thymine-rich DNA binding
T cell receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,Alzheimer's disease,NA,adenylate cyclase binding,double-stranded RNA binding
lymphocyte apoptotic process,NA,NA,NA,NA,NA,NA,NA,mitochondrial respiratory chain complex IV,NA,ubiquitin-like protein conjugating enzyme activity,retinoid X receptor binding
regulation of B cell apoptotic process,NA,NA,NA,NA,NA,NA,NA,aerobic respiration,NA,ubiquitin conjugating enzyme activity,DNA secondary structure binding
B cell apoptotic process,NA,NA,NA,NA,NA,NA,NA,Cardiac muscle contraction,NA,Ubiquitin conjugating enzymes E2,nuclear periphery
SH3 domain binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,positive regulation of viral process,nuclear matrix
positive regulation of lymphocyte activation,NA,NA,NA,NA,NA,NA,NA,NA,NA,structural constituent of cytoskeleton,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
positive regulation of leukocyte activation,NA,NA,NA,NA,NA,NA,NA,NA,NA,adenylate cyclase activator activity,response to interleukin-7
positive regulation of cell activation,NA,NA,NA,NA,NA,NA,NA,NA,NA,type 3 metabotropic glutamate receptor binding,cellular response to interleukin-7
Minor histocompatibility antigens|FERM domain containing,NA,NA,NA,NA,NA,NA,NA,NA,NA,spermatoproteasome complex,single-stranded DNA binding
regulation of B cell activation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIK/NF-kappaB signaling,EMSY complex|SIN3 histone deacetylase complex
B cell receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,response to interleukin-1,regulation of mitotic cell cycle phase transition
positive regulation of B cell activation,NA,NA,NA,NA,NA,NA,NA,NA,NA,cellular response to interleukin-1,negative regulation of cell cycle process
immunoglobulin mediated immune response,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAPK6/MAPK4 signaling,"chromosome, telomeric region"
antigen binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,regulation of transcription from RNA polymerase II promoter in response to stress,protein-DNA complex subunit organization
immunological synapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,regulation of DNA-templated transcription in response to stress,protein-DNA complex assembly
lymphocyte mediated immunity,NA,NA,NA,NA,NA,NA,NA,NA,NA,protein tag,sex chromosome
immunoglobulin complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,interleukin-1-mediated signaling pathway,X chromosome
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,NA,NA,NA,NA,NA,NA,NA,NA,NA,Activation of NF-kappaB in B cells,Barr body
external side of plasma membrane,NA,NA,NA,NA,NA,NA,NA,NA,NA,protein targeting,inactive sex chromosome
phagocytosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER-Phagosome pathway,condensed chromatin of inactivated sex chromosome
blood microparticle,NA,NA,NA,NA,NA,NA,NA,NA,NA,regulation of cellular amino acid metabolic process,sex chromatin
Fc receptor mediated stimulatory signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyclin E associated events during G1/S transition,heterochromatin
Fc-gamma receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,GLI3 is processed to GLI3R by the proteasome,chromatin DNA binding
Fc-gamma receptor signaling pathway involved in phagocytosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Degradation of GLI2 by the proteasome,nucleosomal DNA binding
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Regulation of activated PAK-2p34 by proteasome mediated degradation,nucleosome binding
immunoglobulin receptor binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vif-mediated degradation of APOBEC3G,snRNA binding
"immunoglobulin complex, circulating",NA,NA,NA,NA,NA,NA,NA,NA,NA,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,U2-type catalytic step 2 spliceosome
Fc receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyclin A:Cdk2-associated events at S phase entry,Lsm2-8 complex
Fc-epsilon receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,regulation of transcription from RNA polymerase II promoter in response to hypoxia,U6 snRNP
phagocytic vesicle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,U2 snRNP
phagocytic vesicle membrane,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cellular response to hypoxia,U2-type spliceosomal complex
Phagosome,NA,NA,NA,NA,NA,NA,NA,NA,NA,Regulation of Hypoxia-inducible Factor (HIF) by oxygen,nuclear transport
endocytic vesicle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Regulation of mRNA stability by proteins that bind AU-rich elements,nucleocytoplasmic transport
endocytic vesicle membrane,NA,NA,NA,NA,NA,NA,NA,NA,NA,"proteasome core complex, beta-subunit complex",nuclear export
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Degradation of beta-catenin by the destruction complex,protein export from nucleus
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,organelle envelope lumen,RNA localization
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peptidase complex,RNA export from nucleus
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proteasome complex,ribonucleoprotein complex export from nucleus
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endopeptidase complex,ribonucleoprotein complex localization
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regulation of cellular amine metabolic process,U2-type prespliceosome
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AUF1 (hnRNP D0) binds and destabilizes mRNA,prespliceosome
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteasome,telomeric DNA binding
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proteasome core complex,single-stranded RNA binding
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proteasomal ubiquitin-independent protein catabolic process,RIOK1 interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,threonine-type endopeptidase activity,UNK interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,threonine-type peptidase activity,MAPT interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,APC/C:Cdc20 mediated degradation of Securin,ARIH2 interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autodegradation of Cdh1 by Cdh1:APC/C,USP14 interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host Interactions of HIV factors,U2AF2 interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The role of GTSE1 in G2/M progression after G2 checkpoint,FBP1 interactions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U6 snRNA binding,"negative regulation of mRNA splicing, via spliceosome"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,interleukin-12-mediated signaling pathway,negative regulation of RNA splicing
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cellular response to interleukin-12,negative regulation of mRNA processing
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,response to interleukin-12,catalytic step 2 spliceosome
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nucleobase-containing compound kinase activity,Prp19 complex
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nitric-oxide synthase binding,U5 snRNP
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GDP-dissociation inhibitor activity,Spliceosome
